CHI,RB 4,0.9,
CHI,RB 88,-0.2,
CHI,QB 17,0,
CHI,QB 17,0,TE 7,0,
CHI,RB 4,0.1,
CHI,QB 17,0.6,WR 15,2,
CHI,QB 17,0,
CHI,QB 17,0.2,RB 4,1,
CHI,QB 17,-2,
CHI,RB 4,0.1,
CHI,QB 17,0.24,WR 15,1.1,
CHI,QB 17,0,WR 16,0,
CHI,RB 4,0.2,
CHI,QB 17,0,TE 7,0,
CHI,QB 17,0.4,WR 80,1.5,
CHI,QB 17,0.24,TE 70,1.1,
CHI,WR 15,0,
CHI,QB 17,0,RB 88,0,
CHI,QB 17,0.24,RB 4,1.1,
CHI,K 22,0,
CHI,RB 4,0.3,
CHI,QB 17,0,RB 4,0,
CHI,QB 17,0.2,RB 4,1,
CHI,QB 17,0,TE 7,0,
CHI,QB 17,0.24,TE 7,1.1,
CHI,QB 17,0,WR 80,0,
CHI,TE 70,0,
CHI,QB 17,0.44,WR 15,1.6,
CHI,RB 4,1.3,
CHI,QB 17,1.04,TE 7,3.1,
CHI,RB 4,0.5,
CHI,RB 4,0.1,
CHI,QB 17,4.08,WR 16,6.7,
CHI,K 22,1,
CHI,WR 16,0,
CHI,RB 4,0.7,
CHI,RB 4,0.3,
CHI,QB 17,-0.08,RB 4,0.3,
CHI,RB 4,7.3,
CHI,K 22,1,
CHI,RB 4,0.3,
CHI,RB 4,0.5,
CHI,RB 4,0,
CHI,RB 4,6.1,
CHI,K 22,1,
CHI,QB 17,0.64,WR 16,2.1,
CHI,RB 88,0.2,
CHI,QB 17,0.04,TE 7,0.6,
CHI,QB 17,0,WR 15,0,
CHI,RB 4,0.6,
CHI,RB 4,0.7,
CHI,RB 88,0.3,
CHI,RB 4,0.1,
CHI,QB 17,0,WR 15,0,
CHI,RB 4,0.3,
CHI,RB 4,0,
CHI,QB 17,0.16,TE 7,0.9,
CHI,RB 4,-0.1,
CHI,RB 4,0.5,
CHI,RB 4,0.1,
CHI,K 23,0,
CHI,QB 17,0.4,WR 16,1.5,
CHI,QB 17,0,WR 16,0,
CHI,QB 17,0.24,WR 15,1.1,
CHI,QB 17,0.28,TE 70,1.2,
CHI,RB 4,0.8,
CHI,TE 7,0,
CHI,QB 17,0,WR 80,0,
CHI,QB 17,1.2,RB 4,3.5,
CHI,QB 17,0,WR 15,0,
CHI,QB 17,0.16,RB 4,0.9,
CHI,QB 17,0.28,WR 16,1.2,
CHI,K 22,0,
CHI,K 23,0,RB 48,0,
CHI,QB 17,0.2,WR 80,1,
CHI,RB 4,0.1,
CHI,QB 17,0.4,RB 4,0,WR 16,1.5,
CHI,QB 17,0,WR 16,0,
CHI,QB 17,0.4,
CHI,QB 17,0.44,WR 16,1.6,
CHI,RB 4,0.5,
CHI,QB 17,0.56,RB 4,0,WR 15,1.9,
CHI,QB 17,0.16,RB 4,0.9,
CHI,QB 17,5.08,WR 16,9.2,
CHI,K 22,1,
CHI,K 22,0,QB 17,0.48,TE 7,1.7,
CHI,RB 4,0.5,
CHI,RB 4,-0.1,
CHI,QB 17,0.32,RB 4,0,WR 15,1.3,
CHI,QB 17,-0.04,WR 16,0.4,
CHI,QB 17,0.2,RB 4,1,
CHI,TE 7,0,
CHI,QB 17,0,WR 16,0,
CHI,QB 17,0.7,
CHI,RB 4,0.9,
CHI,QB 17,0.52,WR 15,1.8,
CHI,QB 17,5.76,WR 15,10.9,
CHI,K 22,1,
CHI,RB 4,0.7,
CHI,RB 4,1.5,
CHI,QB 17,-1,WR 16,0,
CHI,K 23,0,
CHI,RB 4,0,
CHI,QB 17,0.24,RB 4,1.1,
CHI,QB 17,0.24,WR 80,1.1,
CHI,RB 4,0,
CHI,QB 17,0.36,RB 4,1.4,
CHI,RB 4,0.2,
CHI,QB 17,0.72,WR 16,2.3,
CHI,QB 17,1.36,WR 16,3.9,
CHI,RB 4,0.2,
CHI,QB 17,0,WR 16,0,
CHI,QB 17,0.2,WR 16,1,
CHI,QB 17,0,
CHI,QB 17,0.16,TE 7,0.9,
CHI,QB 17,1.1,
CHI,QB 17,0.28,WR 16,1.2,
CHI,RB 4,0,
CHI,QB 17,0.04,WR 15,0.6,
CHI,QB 17,-1,WR 15,0,
CHI,QB 17,0.16,TE 7,0.9,
CHI,RB 4,3.2,
CHI,QB 17,0,WR 15,0,
CHI,QB 17,0,TE 70,0,
CHI,QB 17,0.36,TE 7,1.4,
CHI,RB 4,0.2,
CHI,RB 4,0.8,
CHI,RB 4,0.1,
CHI,RB 4,0.1,
CHI,QB 17,0.28,WR 16,1.2,
CHI,RB 4,0.2,
CHI,RB 4,0,
CHI,RB 4,0.2,
CHI,QB 17,0,WR 16,0,
CHI,QB 17,0,WR 80,0,
CHI,QB 17,4.16,WR 15,6.9,
CHI,K 22,1,
CHI,K 23,0,
CHI,RB 4,0.4,
CHI,RB 4,0.6,
CHI,RB 4,0.3,
CHI,RB 4,0.3,
CHI,RB 4,0,
CHI,QB 17,-0.1,
CHI,K 5,0,
CHI,RB 4,0.4,
CHI,QB 17,0.36,WR 16,1.4,
CHI,QB 17,0.44,WR 130,1.6,
CHI,QB 17,0,WR 16,0,
CHI,RB 4,-0.1,
CHI,QB 17,0.4,WR 16,1.5,
CHI,K 5,0,
CHI,QB 17,0,WR 130,0,
CHI,QB 17,-1,RB 4,0,TE 7,0,
CHI,K 5,0,
CHI,RB 4,0,
CHI,QB 17,0.28,WR 15,1.2,
CHI,QB 17,0.48,WR 15,1.7,
CHI,RB 4,0.3,
CHI,QB 17,0,RB 4,0,
CHI,QB 17,0,
CHI,QB 17,0,
CHI,RB 55,0,WR 11,0,
CHI,K 5,0,
CHI,QB 17,0,WR 16,0,
CHI,QB 17,0.04,WR 16,0.6,
CHI,QB 17,0,WR 15,0,
CHI,WR 11,0,
CHI,K 5,0,
CHI,RB 4,1.3,
CHI,WR 16,0.8,
CHI,QB 17,0.32,WR 16,1.3,
CHI,RB 4,0.5,
CHI,RB 4,0.4,WR 45,0,
CHI,QB 17,0.6,RB 4,2,
CHI,QB 17,0,WR 16,0,
CHI,RB 4,0.2,
CHI,QB 17,0,TE 7,0,
CHI,QB 17,0,WR 16,0,
CHI,K 5,0,WR 96,0,
CHI,QB 17,0,WR 15,0,
CHI,RB 4,0.5,
CHI,QB 17,1.48,TE 7,4.2,
CHI,QB 17,0,RB 4,0,
CHI,QB 17,0.32,TE 7,1.3,
CHI,QB 17,0,
CHI,QB 17,0.56,WR 15,1.9,
CHI,QB 17,0.52,WR 16,1.8,
CHI,QB 17,-2,
CHI,K 5,0,RB 55,0,WR 139,0,
CHI,QB 17,-0.1,
CHI,QB 17,0.1,
CHI,QB 17,0,RB 4,0,
CHI,RB 4,0.9,
CHI,WR 96,0,
CHI,K 5,0,
CHI,QB 17,0.28,RB 4,1.2,
CHI,RB 4,0.5,
CHI,QB 17,0.2,RB 4,1,
CHI,RB 4,-0.2,
CHI,QB 17,5.8,WR 15,11,
CHI,K 22,1,
CHI,K 5,0,
CHI,QB 17,0.12,WR 15,0.8,
CHI,QB 17,0.52,WR 15,1.8,
CHI,RB 4,-0.1,
CHI,QB 17,0.12,TE 70,0.8,
CHI,QB 17,0,TE 7,0,
CHI,QB 17,0.36,WR 15,1.4,
CHI,RB 4,0.2,
CHI,QB 17,0,WR 16,0,
